"";"subjectid";"Zaposleni";"d_dug";"k_dug";"matimov";"kapital_rezerve";"osnovni_kapital";"nematimov";"prihod";"placa_net";"placa_brutto";"amortizacija";"financijski_trosak";"porez_dobit";"nett";"materijalni_trosak";"d_obveze";"k_obveze";"Export";"Import";"energy";"reportyear";"employeecounteop";"foreigncontrol";"nacerev21";"nacerev22";"nacerev23";"nacerev24";"countyid";"municipalityid";"NAZIV_OPC";"ZUPANIJA";"NAZIV_ZUP";"naziv";"adresa";"godinaOsnivanja"
"14";"00123714";6;0,002381359;0,00052142;0,005612879;0,003545941;0,00323;0;0,001075225;0,000135189;0,000202057;0,000200791;0,000127411;0;8,6295e-05;0,000417732;0,002381359;0,00052142;0;0;7,9336e-05;2005;6;NA;"I";56;561;5610;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"MIRNI KUTAK d.o.o.";"Gornja Dubrava 63";"1992"
"15";"00123714";3;0;0,000247952;0,00042061;0,000343994;0,000288729;0;0,000400486;6,0812e-05;9,3793e-05;1,3621e-05;0;0;1,2373e-05;0,000290735;0;0,000247952;0;0;0;2001;3;NA;"I";56;561;5610;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"MIRNI KUTAK d.o.o.";"Gornja Dubrava 63";"1992"
"16";"00123714";6;0,002405109;0,000132551;0,005252593;0,003459646;0,00323;0;0,001141163;0,000119949;0,000179821;0,000167763;6,4753e-05;0;9,1022e-05;0,000548339;0,002405109;0,000132551;0;0;3,013e-05;2004;6;NA;"I";56;561;5610;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"MIRNI KUTAK d.o.o.";"Gornja Dubrava 63";"1992"
"17";"00123714";6;0,005662165;0,000189441;0,007583361;0,003547147;0,00323;0;0,000769431;0,000134235;0,000182644;5,2e-05;9,0815e-05;0;1,205e-06;0,000399471;0,005662165;0,000189441;0;0;5,1896e-05;2006;6;NA;"I";56;561;5610;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"MIRNI KUTAK d.o.o.";"Gornja Dubrava 63";"1992"
"18";"00123714";7;0,003736158;0,001120891;0,007599981;0,003560311;0,00323;0;0,001259649;0,000281048;0,000421283;0,000339774;7,75e-07;0;4,61e-07;0,000432301;0,003736158;0,001120891;0;0;0,000206223;2012;7;0;"I";56;561;5610;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";"MIRNI KUTAK d.o.o.";"Gornja Dubrava 63";"1992"
"19";"00123757";1;0;0,000162975;5,4044e-05;-0,000105124;0;0;4,0534e-05;2,64e-05;4,2192e-05;1,757e-06;0;0;-0,000110031;3,0985e-05;0;0,000162975;0;0;6,932e-06;2006;1;NA;"I";56;563;5630;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";NA;NA;NA
"20";"00123757";1;0;0,00022748;5,2288e-05;-0,000159064;0;0;3,2213e-05;3,168e-05;4,6412e-05;1,756e-06;2,2125e-05;0;-5,394e-05;1,3883e-05;0;0,00022748;0;0;5,936e-06;2007;1;NA;"I";56;563;5630;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";NA;NA;NA
"21";"00123757";1;0;0,000160786;5,7558e-05;3,0592e-05;2,048e-05;0;8,5111e-05;2,6426e-05;3,9203e-05;3,132e-06;1,1432e-05;0;6,56e-07;2,986e-05;0;0,000160786;0;0;2,943e-06;2004;1;NA;"I";56;563;5630;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";NA;NA;NA
"22";"00123757";1;0;0,000262675;5,0531e-05;-0,000193225;2e-05;0;9,29e-06;3,2993e-05;4,8589e-05;1,756e-06;0;0;-5,6934e-05;1,5196e-05;0;0,000262675;0;0;0;2009;1;0;"I";56;563;5630;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";NA;NA;NA
"23";"00123757";1;0;0,000111773;6,069e-05;2,9936e-05;2,048e-05;0;9,026e-05;2,1727e-05;3,7211e-05;3,746e-06;5,952e-06;0;4,78e-07;4,053e-05;0;0,000111773;0;0;2,233e-06;2003;1;NA;"I";56;563;5630;9;313;"OTOÈAC";9;"LIÈKO-SENJSKA";NA;NA;NA
